,state,part_act18,total_act18,part_sat18,readwrite_sat18,math_sat18,total_sat18
0,Alabama,100.0,19.1,6.0,595,571,1166
1,Alaska,33.0,20.8,43.0,562,544,1106
2,Arizona,66.0,19.2,29.0,577,572,1149
3,Arkansas,100.0,19.4,5.0,592,576,1169
4,California,27.0,22.7,60.0,540,536,1076
5,Colorado,30.0,23.9,100.0,519,506,1025
6,Connecticut,26.0,25.6,100.0,535,519,1053
7,Delaware,17.0,23.8,100.0,505,492,998
8,Florida,66.0,19.9,56.0,550,549,1099
9,Georgia,53.0,21.4,70.0,542,522,1064
10,Hawaii,89.0,18.9,56.0,480,530,1010
11,Idaho,36.0,22.3,100.0,508,493,1001
12,Illinois,43.0,23.9,99.0,513,506,1019
13,Indiana,32.0,22.5,63.0,542,532,1074
14,Iowa,68.0,21.8,3.0,634,631,1265
15,Kansas,71.0,21.6,4.0,633,631,1265
16,Kentucky,100.0,20.2,4.0,630,618,1248
17,Louisiana,100.0,19.2,4.0,615,595,1210
18,Maine,7.0,24.0,99.0,512,501,1013
19,Maryland,31.0,22.5,76.0,545,535,1080
20,Massachusetts,25.0,25.5,80.0,562,563,1125
21,Michigan,22.0,24.2,100.0,511,499,1011
22,Minnesota,99.0,21.3,4.0,643,655,1298
23,Mississippi,100.0,18.6,3.0,630,606,1236
24,Missouri,100.0,20.0,4.0,633,629,1262
25,Montana,100.0,20.0,10.0,606,592,1198
26,Nebraska,100.0,20.1,3.0,629,623,1252
27,Nevada,100.0,17.7,23.0,574,566,1140
28,New Hampshire,16.0,25.1,96.0,535,528,1063
29,New Jersey,31.0,23.7,82.0,547,547,1094
30,New Mexico,67.0,19.4,16.0,552,540,1093
31,New York,27.0,24.5,79.0,534,534,1068
32,North Carolina,100.0,19.1,52.0,554,543,1098
33,North Dakota,98.0,20.3,2.0,640,643,1283
34,Ohio,100.0,20.3,18.0,552,547,1099
35,Oklahoma,100.0,19.3,8.0,541,521,1062
36,Oregon,42.0,21.3,48.0,564,553,1117
37,Pennsylvania,20.0,23.5,70.0,547,539,1086
38,Rhode Island,15.0,24.2,97.0,513,505,1018
39,South Carolina,100.0,18.3,55.0,547,523,1070
40,South Dakota,77.0,21.9,3.0,622,618,1240
41,Tennessee,100.0,19.6,6.0,624,607,1231
42,Texas,45.0,20.7,66.0,520,512,1032
43,Utah,100.0,20.4,4.0,480,530,1010
44,Vermont,24.0,24.1,64.0,565,554,1120
45,Virginia,24.0,23.9,68.0,567,550,1117
46,Washington,24.0,22.2,69.0,543,538,1081
47,West Virginia,65.0,20.3,28.0,513,486,999
48,Wisconsin,100.0,20.5,3.0,641,653,1294
49,Wyoming,100.0,20.0,3.0,633,625,1257
